Wilayah Jawa Barat,
,Garis Kemiskinan Menurut Kabupaten/Kota (Rupiah/kapita/bulan)
,2023
Provinsi Jawa Barat,495229
Bogor,482174
Sukabumi,392705
Cianjur,437327
Bandung,426069
Garut,367681
Tasikmalaya,378958
Ciamis,442108
Kuningan,402767
Cirebon,451853
Majalengka,520713
Sumedang,396573
Indramayu,532545
Subang,404320
Purwakarta,434187
Karawang,555889
Bekasi,632811
Bandung Barat,426355
Pangandaran,447242
Kota Bogor,661384
Kota Sukabumi,644276
Kota Bandung,591124
Kota Cirebon,520579
Kota Bekasi,795965
Kota Depok,804984
Kota Cimahi,590197
Kota Tasikmalaya,537497
Kota Banjar,408710
