Kabupaten/Kota,
,Persentase Penduduk Miskin Menurut Kabupaten/Kota di Jawa Barat (Persen)
,2021
Provinsi Jawa Barat,8.4
Bogor,8.13
Sukabumi,7.7
Cianjur,11.18
Bandung,7.15
Garut,10.65
Tasikmalaya,11.15
Ciamis,7.97
Kuningan,13.1
Cirebon,12.3
Majalengka,12.33
Sumedang,10.71
Indramayu,13.04
Subang,10.03
Purwakarta,8.83
Karawang,8.95
Bekasi,5.21
Bandung Barat,11.3
Pangandaran,9.65
Kota Bogor,7.24
Kota Sukabumi,8.25
Kota Bandung,4.37
Kota Cirebon,10.03
Kota Bekasi,4.74
Kota Depok,2.58
Kota Cimahi,5.35
Kota Tasikmalaya,13.13
Kota Banjar,7.11
