38 Provinsi,,,,,,
,Garis Kemiskinan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah,,,,,
,Perkotaan,,,Perdesaan,,
,2022,,,2022,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,606394,646232,-,565762,602900,-
SUMATERA UTARA,583221,615227,-,534184,563783,-
SUMATERA BARAT,622579,668643,-,598431,638946,-
RIAU,642008,686945,-,582224,623910,-
JAMBI,635708,684555,-,503811,541267,-
SUMATERA SELATAN,515925,548455,-,467139,493882,-
BENGKULU,647836,686223,-,565952,599973,-
LAMPUNG,560467,595992,-,492623,523159,-
KEP. BANGKA BELITUNG,784988,836425,-,820543,872843,-
KEP. RIAU,687245,733248,-,659308,697732,-
DKI JAKARTA,738955,773370,-,-,-,-
JAWA BARAT,452653,480785,-,451305,477969,-
JAWA TENGAH,442479,469623,-,434785,459714,-
DI YOGYAKARTA,543821,573915,-,455583,480767,-
JAWA TIMUR,473017,499769,-,446375,473481,-
BANTEN,587768,617527,-,521311,544957,-
BALI,499572,530820,-,449697,476031,-
NUSA TENGGARA BARAT,470431,501586,-,448965,477824,-
NUSA TENGGARA TIMUR,558741,594016,-,429079,455543,-
KALIMANTAN BARAT,558787,592432,-,500049,529055,-
KALIMANTAN TENGAH,525228,557200,-,565361,603025,-
KALIMANTAN SELATAN,560053,588472,-,544795,572917,-
KALIMANTAN TIMUR,732195,772112,-,718550,758565,-
KALIMANTAN UTARA,804517,834774,-,719982,750406,-
SULAWESI UTARA,433470,460738,-,419589,446871,-
SULAWESI TENGAH,538018,565994,-,525665,552561,-
SULAWESI SELATAN,419172,443717,-,383414,405213,-
SULAWESI TENGGARA,420442,451180,-,394734,421684,-
GORONTALO,413279,436651,-,410188,432069,-
SULAWESI BARAT,404705,428974,-,405377,426299,-
MALUKU,639349,682707,-,625202,664124,-
MALUKU UTARA,541972,573792,-,503388,532361,-
PAPUA BARAT,700168,741776,-,641565,682461,-
PAPUA BARAT DAYA,-,-,-,-,-,-
PAPUA,676775,723346,-,608205,646116,-
PAPUA SELATAN,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-
INDONESIA,521494,552349,-,484209,513170,-
