Wilayah Jawa Barat,
,Garis Kemiskinan Menurut Kabupaten/Kota (Rupiah/kapita/bulan)
,2024
Provinsi Jawa Barat,524052
Bogor,513512
Sukabumi,416751
Cianjur,466509
Bandung,455636
Garut,393464
Tasikmalaya,400148
Ciamis,467497
Kuningan,420867
Cirebon,475046
Majalengka,547912
Sumedang,422714
Indramayu,560159
Subang,434161
Purwakarta,467948
Karawang,597345
Bekasi,674924
Bandung Barat,455325
Pangandaran,470068
Kota Bogor,699861
Kota Sukabumi,678258
Kota Bandung,614707
Kota Cirebon,545592
Kota Bekasi,842927
Kota Depok,843893
Kota Cimahi,612567
Kota Tasikmalaya,565377
Kota Banjar,430590
