Wilayah Jawa Barat,
,Garis Kemiskinan Menurut Kabupaten/Kota (Rupiah/kapita/bulan)
,2025
Provinsi Jawa Barat,547752
Bogor,531412
Sukabumi,431785
Cianjur,482562
Bandung,468974
Garut,407191
Tasikmalaya,413178
Ciamis,483644
Kuningan,435184
Cirebon,491604
Majalengka,566574
Sumedang,436490
Indramayu,578169
Subang,449186
Purwakarta,483968
Karawang,617901
Bekasi,698154
Bandung Barat,471101
Pangandaran,486285
Kota Bogor,730079
Kota Sukabumi,706415
Kota Bandung,644417
Kota Cirebon,571809
Kota Bekasi,864601
Kota Depok,884633
Kota Cimahi,642016
Kota Tasikmalaya,591600
Kota Banjar,451277
