Wilayah Jawa Barat,
,Tingkat Pengangguran Terbuka Menurut Kabupaten/Kota (%)
,2023
Provinsi Jawa Barat,7.44
Bogor,8.47
Sukabumi,7.32
Cianjur,7.71
Bandung,6.52
Garut,7.33
Tasikmalaya,3.89
Ciamis,3.52
Kuningan,9.49
Cirebon,7.65
Majalengka,4.12
Sumedang,6.94
Indramayu,6.46
Subang,7.65
Purwakarta,7.72
Karawang,8.95
Bekasi,8.87
Bandung Barat,8.11
Pangandaran,1.52
Kota Bogor,9.39
Kota Sukabumi,8.53
Kota Bandung,8.83
Kota Cirebon,7.66
Kota Bekasi,7.9
Kota Depok,6.97
Kota Cimahi,10.52
Kota Tasikmalaya,6.55
Kota Banjar,5.43
