38 Provinsi,,,,,,,,,
,Persentase Penduduk Miskin (P0) Menurut Provinsi dan Daerah (Persen),,,,,,,,
,Perkotaan,,,Perdesaan,,,Jumlah,,
,2022,,,2022,,,2022,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,10.31,10.35,-,16.87,17.06,-,14.64,14.75,-
SUMATERA UTARA,8.76,8.63,-,7.98,7.96,-,8.42,8.33,-
SUMATERA BARAT,4.95,4.9,-,6.86,7.2,-,5.92,6.04,-
RIAU,6.34,6.49,-,7.08,7.07,-,6.78,6.84,-
JAMBI,10.51,10.48,-,6.19,6.32,-,7.62,7.7,-
SUMATERA SELATAN,11.23,11.37,-,12.31,12.3,-,11.9,11.95,-
BENGKULU,14.88,14.53,-,14.49,14.24,-,14.62,14.34,-
LAMPUNG,8.31,8.34,-,13.14,12.96,-,11.57,11.44,-
KEP. BANGKA BELITUNG,3.09,3.48,-,6.26,6.13,-,4.45,4.61,-
KEP. RIAU,5.68,5.46,-,10.68,10.63,-,6.24,6.03,-
DKI JAKARTA,4.69,4.61,-,-,-,-,4.69,4.61,-
JAWA BARAT,7.57,7.52,-,9.88,9.75,-,8.06,7.98,-
JAWA TENGAH,9.92,10.02,-,12.04,12.05,-,10.93,10.98,-
DI YOGYAKARTA,10.56,10.64,-,13.65,14,-,11.34,11.49,-
JAWA TIMUR,7.71,7.78,-,13.69,13.9,-,10.38,10.49,-
BANTEN,5.73,5.89,-,7.46,7.29,-,6.16,6.24,-
BALI,4.23,4.12,-,5.39,5.58,-,4.57,4.53,-
NUSA TENGGARA BARAT,14.1,13.98,-,13.24,13.66,-,13.68,13.82,-
NUSA TENGGARA TIMUR,8.84,9,-,23.86,24.11,-,20.05,20.23,-
KALIMANTAN BARAT,4.44,4.63,-,8.06,8.1,-,6.73,6.81,-
KALIMANTAN TENGAH,5.17,5.09,-,5.36,5.32,-,5.28,5.22,-
KALIMANTAN SELATAN,3.64,4.03,-,5.31,5.17,-,4.49,4.61,-
KALIMANTAN TIMUR,4.8,4.97,-,9.64,9.71,-,6.31,6.44,-
KALIMANTAN UTARA,5.66,5.58,-,8.75,9.15,-,6.77,6.86,-
SULAWESI UTARA,5.14,5.04,-,9.77,10.16,-,7.28,7.34,-
SULAWESI TENGAH,9.03,9.13,-,13.87,13.79,-,12.33,12.3,-
SULAWESI SELATAN,5.07,4.98,-,11.63,11.81,-,8.63,8.66,-
SULAWESI TENGGARA,6.95,7.22,-,13.57,13.6,-,11.17,11.27,-
GORONTALO,3.97,4.49,-,24.42,24.52,-,15.42,15.51,-
SULAWESI BARAT,9.76,9.33,-,12.26,12.58,-,11.75,11.92,-
MALUKU,5.82,5.9,-,23.5,24.54,-,15.97,16.23,-
MALUKU UTARA,5.18,6.17,-,6.66,6.45,-,6.23,6.37,-
PAPUA BARAT,6.96,7.64,-,31.42,32.12,-,21.33,21.43,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,5.02,5.29,-,35.39,35.68,-,26.56,26.8,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,7.5,7.53,-,12.29,12.36,-,9.54,9.57,-
