38 Provinsi,,,,,,
,Garis Kemiskinan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah,,,,,
,Perkotaan,,,Perdesaan,,
,2023,,,2023,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,657772,-,-,612007,-,-
SUMATERA UTARA,626782,-,-,573500,-,-
SUMATERA BARAT,682515,-,-,652709,-,-
RIAU,698241,-,-,632704,-,-
JAMBI,699123,-,-,552720,-,-
SUMATERA SELATAN,556102,-,-,500688,-,-
BENGKULU,698802,-,-,609241,-,-
LAMPUNG,610614,-,-,534575,-,-
KEP. BANGKA BELITUNG,859301,-,-,893380,-,-
KEP. RIAU,747258,-,-,708168,-,-
DKI JAKARTA,792515,-,-,-,-,-
JAWA BARAT,496201,-,-,491013,-,-
JAWA TENGAH,485511,-,-,469003,-,-
DI YOGYAKARTA,598925,-,-,499942,-,-
JAWA TIMUR,522690,-,-,488437,-,-
BANTEN,635207,-,-,563440,-,-
BALI,545700,-,-,488634,-,-
NUSA TENGGARA BARAT,511463,-,-,485682,-,-
NUSA TENGGARA TIMUR,614436,-,-,471502,-,-
KALIMANTAN BARAT,605687,-,-,538992,-,-
KALIMANTAN TENGAH,570559,-,-,613490,-,-
KALIMANTAN SELATAN,613880,-,-,594141,-,-
KALIMANTAN TIMUR,796193,-,-,776285,-,-
KALIMANTAN UTARA,851133,-,-,765597,-,-
SULAWESI UTARA,470822,-,-,454781,-,-
SULAWESI TENGAH,579063,-,-,563068,-,-
SULAWESI SELATAN,458859,-,-,416532,-,-
SULAWESI TENGGARA,463387,-,-,431962,-,-
GORONTALO,444797,-,-,439013,-,-
SULAWESI BARAT,437387,-,-,432169,-,-
MALUKU,694588,-,-,676005,-,-
MALUKU UTARA,599137,-,-,550988,-,-
PAPUA BARAT,765617,-,-,702530,-,-
PAPUA BARAT DAYA,-,-,-,-,-,-
PAPUA,743289,-,-,661946,-,-
PAPUA SELATAN,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-
INDONESIA,569299,-,-,525050,-,-
