Wilayah Jawa Barat,
,Tingkat Pengangguran Terbuka Menurut Kabupaten/Kota (%)
,2021
Provinsi Jawa Barat,9.82
Bogor,12.22
Sukabumi,9.51
Cianjur,9.32
Bandung,8.32
Garut,8.68
Tasikmalaya,6.16
Ciamis,5.06
Kuningan,11.68
Cirebon,10.38
Majalengka,5.71
Sumedang,9.18
Indramayu,8.3
Subang,9.77
Purwakarta,10.7
Karawang,11.83
Bekasi,10.09
Bandung Barat,11.65
Pangandaran,3.25
Kota Bogor,11.79
Kota Sukabumi,10.78
Kota Bandung,11.46
Kota Cirebon,10.53
Kota Bekasi,10.88
Kota Depok,9.76
Kota Cimahi,13.07
Kota Tasikmalaya,7.66
Kota Banjar,6.09
