38 Provinsi,,,,,,
,Garis Kemiskinan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah,,,,,
,Perkotaan,,,Perdesaan,,
,2020,,,2020,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,541451,543685,-,512886,514663,-
SUMATERA UTARA,518218,520529,-,484717,486642,-
SUMATERA BARAT,562567,565531,-,527830,529673,-
RIAU,570462,572856,-,526431,528735,-
JAMBI,549033,552498,-,453502,454754,-
SUMATERA SELATAN,469551,470800,-,421650,424369,-
BENGKULU,573222,576921,-,506010,509487,-
LAMPUNG,500720,504330,-,433843,437107,-
KEP. BANGKA BELITUNG,710634,716460,-,732570,736850,-
KEP. RIAU,616743,619461,-,595249,597899,-
DKI JAKARTA,680401,683339,-,-,-,-
JAWA BARAT,412902,416699,-,404091,411342,-
JAWA TENGAH,401771,404451,-,388796,392216,-
DI YOGYAKARTA,487173,488461,-,403173,404035,-
JAWA TIMUR,428175,428593,-,402503,406206,-
BANTEN,527777,532096,-,460721,474487,-
BALI,443070,451634,-,401291,407316,-
NUSA TENGGARA BARAT,417730,419924,-,393218,396500,-
NUSA TENGGARA TIMUR,494388,496191,-,376212,377246,-
KALIMANTAN BARAT,500131,504445,-,456192,458524,-
KALIMANTAN TENGAH,471684,478873,-,492603,498959,-
KALIMANTAN SELATAN,503748,508852,-,490254,495715,-
KALIMANTAN TIMUR,665970,675399,-,652620,656069,-
KALIMANTAN UTARA,714492,723478,-,632586,649761,-
SULAWESI UTARA,395983,402502,-,385957,392818,-
SULAWESI TENGAH,489881,492758,-,467770,478687,-
SULAWESI SELATAN,363361,375463,-,339743,350791,-
SULAWESI TENGGARA,366063,383839,-,350019,360123,-
GORONTALO,371201,375740,-,366811,373911,-
SULAWESI BARAT,354993,356967,-,349695,352269,-
MALUKU,558222,584061,-,552090,566497,-
MALUKU UTARA,488764,494703,-,452080,459580,-
PAPUA BARAT,629738,635539,-,596286,602290,-
PAPUA BARAT DAYA,-,-,-,-,-,-
PAPUA,611115,622346,-,542695,562412,-
PAPUA SELATAN,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-
INDONESIA,471822,475477,-,433281,437902,-
