Kabupaten/Kota,
,Persentase Penduduk Miskin Menurut Kabupaten/Kota di Jawa Barat (Persen)
,2023
Provinsi Jawa Barat,7.62
Bogor,7.27
Sukabumi,7.01
Cianjur,10.22
Bandung,6.4
Garut,9.77
Tasikmalaya,10.28
Ciamis,7.42
Kuningan,12.12
Cirebon,11.2
Majalengka,11.21
Sumedang,9.36
Indramayu,12.13
Subang,9.52
Purwakarta,8.46
Karawang,7.87
Bekasi,4.93
Bandung Barat,10.52
Pangandaran,8.98
Kota Bogor,6.67
Kota Sukabumi,7.5
Kota Bandung,3.96
Kota Cirebon,9.16
Kota Bekasi,4.1
Kota Depok,2.38
Kota Cimahi,4.66
Kota Tasikmalaya,11.53
Kota Banjar,6.14
