38 Provinsi,,,,,,
,Garis Kemiskinan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah,,,,,
,Perkotaan,,,Perdesaan,,
,2021,,,2021,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,565776,577270,-,529035,541000,-
SUMATERA UTARA,543085,556437,-,504685,513987,-
SUMATERA BARAT,580937,592302,-,556181,566224,-
RIAU,595270,618552,-,546807,564900,-
JAMBI,583748,598178,-,470758,479006,-
SUMATERA SELATAN,485439,491658,-,441415,446678,-
BENGKULU,604269,624573,-,524492,548327,-
LAMPUNG,516003,535133,-,451211,472918,-
KEP. BANGKA BELITUNG,737934,753768,-,768414,791146,-
KEP. RIAU,644601,655506,-,614746,626811,-
DKI JAKARTA,697638,715052,-,-,-,-
JAWA BARAT,428832,438642,-,421757,433041,-
JAWA TENGAH,416825,427099,-,401139,419064,-
DI YOGYAKARTA,507007,517353,-,414240,438412,-
JAWA TIMUR,441709,459440,-,414429,428457,-
BANTEN,549111,567000,-,485525,497213,-
BALI,467189,474322,-,417722,429877,-
NUSA TENGGARA BARAT,434451,452855,-,412646,430381,-
NUSA TENGGARA TIMUR,508584,531194,-,385970,408769,-
KALIMANTAN BARAT,513341,540474,-,467362,486544,-
KALIMANTAN TENGAH,494153,499553,-,514743,537135,-
KALIMANTAN SELATAN,527240,536041,-,510372,517293,-
KALIMANTAN TIMUR,695824,706886,-,673636,692910,-
KALIMANTAN UTARA,739267,761840,-,665963,684582,-
SULAWESI UTARA,416158,423427,-,404635,411450,-
SULAWESI TENGAH,506383,516374,-,492234,500351,-
SULAWESI SELATAN,389804,403751,-,358330,368465,-
SULAWESI TENGGARA,394183,410332,-,369824,385845,-
GORONTALO,389959,401219,-,388609,398806,-
SULAWESI BARAT,368899,382292,-,363308,384598,-
MALUKU,596564,613316,-,580646,600344,-
MALUKU UTARA,516450,533231,-,478452,494997,-
PAPUA BARAT,654878,683148,-,613644,629885,-
PAPUA BARAT DAYA,-,-,-,-,-,-
PAPUA,634703,643071,-,573510,582157,-
PAPUA SELATAN,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-
INDONESIA,489848,502730,-,450185,464474,-
